predicted,ground-truth
4.885710861788445,5
3.715086337924639,2
4.854273774484111,5
3.88484274886622,1
4.826828766187186,4
2.6812017909175054,2
4.91501711746784,5
4.9738909700378455,5
3.6723310051194096,3
4.38983365080904,4
4.667226643859217,5
4.59536788648876,5
4.668168975694377,5
4.1403300196583706,4
4.684354459285477,5
3.4356110126968886,5
4.3738268840178245,5
4.239723853412484,2
4.345110466837047,5
3.4690940983926137,3
4.826565311794008,5
4.493428148567077,5
4.840607284185902,5
4.797948036656247,5
4.188796694575917,5
4.580000449055504,5
1.2217199561149066,1
4.0086103809670846,4
4.058213712626672,4
4.586534407954349,4
4.806892870356287,5
4.814120231288824,4
3.291085587185381,3
1.134925589335006,1
4.431740831736412,4
5.0,5
4.90588211837867,5
4.63661110688274,4
4.041477482744861,4
3.626000546763065,4
4.973736871093118,5
4.887862955455191,5
3.631289924229575,5
3.2610894870951563,5
3.274331371729623,3
4.981243246245102,5
3.586740516995067,2
4.055541357998012,4
4.981394290917185,5
4.458314324501594,4
4.0052222430585145,4
4.832221612395414,5
4.061737462771397,5
2.879443587470625,3
4.504600849718593,4
5.0,5
4.541478454636608,5
4.124260559343722,4
1.1964284668167111,1
4.1035676306232896,4
4.979083998144743,5
3.3675722569146123,2
4.721435336077735,5
4.962168903894388,5
4.95760081704788,5
4.980115082422315,5
4.48602370114787,4
3.1558857938006133,2
4.964730354788428,5
4.036382499775974,4
4.439074965508316,5
4.2970495578183465,4
3.946053091493421,3
4.689187500306806,5
4.942925791372874,5
2.051833911723026,2
4.698827242012569,5
4.943573718697316,5
4.98273143487734,5
1.4287732544219236,1
4.432656683858872,4
2.2474493097488586,2
4.992492560908762,5
4.983296837980129,5
4.838809742776106,5
3.6870661563812703,5
4.974137192968595,5
4.9890923175131885,5
1.0743784460640406,1
4.607047236254374,5
2.1942424557814277,2
4.92780028849004,5
4.992132060291025,5
4.983323141857134,5
3.7194084925581756,4
4.9731417302346825,5
4.943573718697316,5
4.234783055088774,3
4.672246954136579,4
4.970624851971296,5
4.1311768838803795,2
4.972975077444632,5
3.8525595415732,3
3.8726612982417206,4
4.733678970119688,4
3.0359163248539884,3
4.868592683753122,5
4.994637657461392,5
4.020035123724087,4
4.433684110262142,5
4.889619711314606,5
4.245390556740613,5
4.791186699545449,5
4.829995708856894,5
4.045720260272506,1
4.333239562774653,4
4.457612258284497,3
4.943573718697316,5
4.112085188990707,4
2.0840945203684162,1
3.252358157198799,3
4.707112571490292,3
4.16506153929936,4
3.6636788402301605,3
4.919780866990661,5
3.881244009355963,5
4.651166774707126,4
4.612927020798297,4
4.243275828065819,3
4.200092889805839,4
2.235564807432762,2
4.48106135466093,4
